Performing initial speed check (None compression)...

Performing Avro speed check with all compressors...

Running benchmarks...
ID                             | Ratio (%)  | Speed      | Ser+Comp   | De+Deser   | Status    
XML/GozstdBest/len=100    | 43.37      | 0.48       | 0.51       | 10.20      | OK        
XML/DataDogZstdBest/len=100 | 43.37      | 0.48       | 0.50       | 10.17      | OK        
SegmentioJSON/XZ/len=100  | 43.37      | 0.89       | 1.14       | 4.06       | OK        
GoccyYAML/XZ/len=100      | 43.37      | 0.58       | 0.84       | 1.93       | OK        
JsonIterFastest/XZ/len=100 | 43.37      | 0.96       | 1.25       | 4.12       | OK        
UgorjiCBOR/Brotli/len=100 | 43.37      | 9.13       | 10.59      | 65.90      | OK        
JsonIter/XZ/len=100       | 43.37      | 0.98       | 1.26       | 4.30       | OK        
TOML/XZ/len=100           | 43.37      | 0.93       | 1.18       | 4.41       | OK        
Avro/ZstdFastest/len=100  | 43.37      | 110.42     | 168.86     | 319.03     | OK        
CBOR/Brotli/len=100       | 43.37      | 9.22       | 11.22      | 51.92      | OK        
CBORCanonical/Brotli/len=100 | 43.37      | 8.71       | 10.54      | 50.25      | OK        
Sonic/XZ/len=100          | 43.37      | 0.92       | 1.16       | 4.57       | OK        
GoAvro/ZstdFastest/len=100 | 43.37      | 11.21      | 23.16      | 21.71      | OK        
GoccyJSON/XZ/len=100      | 43.37      | 0.98       | 1.26       | 4.48       | OK        
JSON/XZ/len=100           | 43.37      | 0.95       | 1.20       | 4.54       | OK        
Sonic/Zlib/len=100        | 44.58      | 19.98      | 31.42      | 54.87      | OK        
GoccyYAML/ZstdBest/len=100 | 44.58      | 1.66       | 3.16       | 3.52       | OK        
CBOR/DataDogZstdBest/len=100 | 44.58      | 1.39       | 1.41       | 92.02      | OK        
GoccyJSON/Zlib/len=100    | 44.58      | 19.39      | 29.85      | 55.32      | OK        
GoccyJSON/Flate/len=100   | 44.58      | 19.54      | 28.32      | 62.98      | OK        
JSON/Flate/len=100        | 44.58      | 14.67      | 25.28      | 34.94      | OK        
CBOR/GozstdBest/len=100   | 44.58      | 1.40       | 1.42       | 96.21      | OK        
BurntSushiTOML/ZstdBest/len=100 | 44.58      | 3.90       | 7.62       | 7.98       | OK        
Sonic/ZstdBest/len=100    | 44.58      | 21.02      | 27.02      | 94.67      | OK        
ShamatonMsgPack/GozstdBest/len=100 | 44.58      | 1.47       | 1.48       | 170.98     | OK        
ShamatonMsgPack/DataDogZstdBest/len=100 | 44.58      | 1.45       | 1.47       | 162.09     | OK        
JsonIterFastest/Zlib/len=100 | 44.58      | 19.36      | 31.26      | 50.84      | OK        
JsonIterFastest/Flate/len=100 | 44.58      | 19.71      | 31.29      | 53.24      | OK        
Sonic/Flate/len=100       | 44.58      | 20.85      | 31.06      | 63.39      | OK        
UgorjiBinc/GozstdBest/len=100 | 44.58      | 1.35       | 1.36       | 154.52     | OK        
BurntSushiTOML/XZ/len=100 | 44.58      | 0.82       | 1.10       | 3.29       | OK        
GoccyJSON/ZstdBest/len=100 | 44.58      | 15.94      | 19.88      | 80.49      | OK        
UgorjiBinc/DataDogZstdBest/len=100 | 44.58      | 1.32       | 1.33       | 143.03     | OK        
GoccyYAML/Gzip/len=100    | 44.58      | 1.79       | 3.66       | 3.52       | OK        
JSON/Zlib/len=100         | 44.58      | 14.53      | 25.19      | 34.34      | OK        
JSON/ZstdBest/len=100     | 44.58      | 15.23      | 22.88      | 45.56      | OK        
UgorjiMsgPack/GozstdBest/len=100 | 44.58      | 1.37       | 1.39       | 134.43     | OK        
JsonIter/ZstdBest/len=100 | 44.58      | 20.00      | 28.66      | 66.20      | OK        
UgorjiMsgPack/DataDogZstdBest/len=100 | 44.58      | 1.39       | 1.41       | 129.54     | OK        
CBORCanonical/GozstdBest/len=100 | 44.58      | 1.32       | 1.34       | 93.37      | OK        
UgorjiBinc/Brotli/len=100 | 44.58      | 8.79       | 10.27      | 60.80      | OK        
JsonIter/Flate/len=100    | 44.58      | 20.14      | 33.35      | 50.86      | OK        
SegmentioJSON/ZstdBest/len=100 | 44.58      | 12.52      | 18.18      | 40.22      | OK        
TOML/ZstdBest/len=100     | 44.58      | 9.04       | 11.64      | 40.37      | OK        
JsonIter/Zlib/len=100     | 44.58      | 19.41      | 32.64      | 47.90      | OK        
YAML/XZ/len=100           | 44.58      | 0.84       | 1.10       | 3.55       | OK        
JsonIterFastest/ZstdBest/len=100 | 44.58      | 21.59      | 30.81      | 72.18      | OK        
UgorjiCBOR/GozstdBest/len=100 | 44.58      | 1.36       | 1.38       | 130.04     | OK        
MsgPack/DataDogZstdBest/len=100 | 44.58      | 1.45       | 1.47       | 103.53     | OK        
UgorjiCBOR/DataDogZstdBest/len=100 | 44.58      | 1.39       | 1.40       | 125.76     | OK        
YAML/ZstdBest/len=100     | 44.58      | 3.39       | 6.24       | 7.40       | OK        
SegmentioJSON/Flate/len=100 | 44.58      | 11.94      | 19.23      | 31.48      | OK        
SegmentioJSON/Zlib/len=100 | 44.58      | 10.72      | 17.20      | 28.44      | OK        
EasyJSON/Zlib/len=100     | 44.58      | 21.87      | 32.15      | 68.46      | OK        
